STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),1950,Under 1 year,Both sexes,Thousand,61
Population Estimates (Persons in April),1950,Under 1 year,Male,Thousand,31
Population Estimates (Persons in April),1950,Under 1 year,Female,Thousand,30
Population Estimates (Persons in April),1950,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1950,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1950,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1950,0 - 14 years,Both sexes,Thousand,851
Population Estimates (Persons in April),1950,0 - 14 years,Male,Thousand,435
Population Estimates (Persons in April),1950,0 - 14 years,Female,Thousand,417
Population Estimates (Persons in April),1950,1 - 4 years,Both sexes,Thousand,249
Population Estimates (Persons in April),1950,1 - 4 years,Male,Thousand,128
Population Estimates (Persons in April),1950,1 - 4 years,Female,Thousand,122
Population Estimates (Persons in April),1950,5 - 9 years,Both sexes,Thousand,279
Population Estimates (Persons in April),1950,5 - 9 years,Male,Thousand,142
Population Estimates (Persons in April),1950,5 - 9 years,Female,Thousand,137
Population Estimates (Persons in April),1950,10 - 14 years,Both sexes,Thousand,262
Population Estimates (Persons in April),1950,10 - 14 years,Male,Thousand,133
Population Estimates (Persons in April),1950,10 - 14 years,Female,Thousand,129
Population Estimates (Persons in April),1950,15 - 19 years,Both sexes,Thousand,244
Population Estimates (Persons in April),1950,15 - 19 years,Male,Thousand,127
Population Estimates (Persons in April),1950,15 - 19 years,Female,Thousand,117
Population Estimates (Persons in April),1950,15 - 24 years,Both sexes,Thousand,453
Population Estimates (Persons in April),1950,15 - 24 years,Male,Thousand,235
Population Estimates (Persons in April),1950,15 - 24 years,Female,Thousand,218
Population Estimates (Persons in April),1950,15 years and over,Both sexes,Thousand,2118
Population Estimates (Persons in April),1950,15 years and over,Male,Thousand,1075
Population Estimates (Persons in April),1950,15 years and over,Female,Thousand,1042
Population Estimates (Persons in April),1950,20 - 24 years,Both sexes,Thousand,209
Population Estimates (Persons in April),1950,20 - 24 years,Male,Thousand,108
Population Estimates (Persons in April),1950,20 - 24 years,Female,Thousand,100
Population Estimates (Persons in April),1950,25 - 29 years,Both sexes,Thousand,201
Population Estimates (Persons in April),1950,25 - 29 years,Male,Thousand,101
Population Estimates (Persons in April),1950,25 - 29 years,Female,Thousand,100
Population Estimates (Persons in April),1950,25 - 44 years,Both sexes,Thousand,774
Population Estimates (Persons in April),1950,25 - 44 years,Male,Thousand,393
Population Estimates (Persons in April),1950,25 - 44 years,Female,Thousand,380
Population Estimates (Persons in April),1950,30 - 34 years,Both sexes,Thousand,195
Population Estimates (Persons in April),1950,30 - 34 years,Male,Thousand,98
Population Estimates (Persons in April),1950,30 - 34 years,Female,Thousand,97
Population Estimates (Persons in April),1950,35 - 39 years,Both sexes,Thousand,200
Population Estimates (Persons in April),1950,35 - 39 years,Male,Thousand,102
Population Estimates (Persons in April),1950,35 - 39 years,Female,Thousand,98
Population Estimates (Persons in April),1950,40 - 44 years,Both sexes,Thousand,178
Population Estimates (Persons in April),1950,40 - 44 years,Male,Thousand,92
Population Estimates (Persons in April),1950,40 - 44 years,Female,Thousand,86
Population Estimates (Persons in April),1950,45 - 49 years,Both sexes,Thousand,164
Population Estimates (Persons in April),1950,45 - 49 years,Male,Thousand,84
Population Estimates (Persons in April),1950,45 - 49 years,Female,Thousand,80
Population Estimates (Persons in April),1950,45 - 64 years,Both sexes,Thousand,575
Population Estimates (Persons in April),1950,45 - 64 years,Male,Thousand,291
Population Estimates (Persons in April),1950,45 - 64 years,Female,Thousand,283
Population Estimates (Persons in April),1950,50 - 54 years,Both sexes,Thousand,158
Population Estimates (Persons in April),1950,50 - 54 years,Male,Thousand,81
Population Estimates (Persons in April),1950,50 - 54 years,Female,Thousand,78
Population Estimates (Persons in April),1950,55 - 59 years,Both sexes,Thousand,130
Population Estimates (Persons in April),1950,55 - 59 years,Male,Thousand,66
Population Estimates (Persons in April),1950,55 - 59 years,Female,Thousand,65
Population Estimates (Persons in April),1950,60 - 64 years,Both sexes,Thousand,122
Population Estimates (Persons in April),1950,60 - 64 years,Male,Thousand,61
Population Estimates (Persons in April),1950,60 - 64 years,Female,Thousand,61
Population Estimates (Persons in April),1950,65 - 69 years,Both sexes,Thousand,109
Population Estimates (Persons in April),1950,65 - 69 years,Male,Thousand,55
Population Estimates (Persons in April),1950,65 - 69 years,Female,Thousand,54
Population Estimates (Persons in April),1950,65 years and over,Both sexes,Thousand,317
Population Estimates (Persons in April),1950,65 years and over,Male,Thousand,156
Population Estimates (Persons in April),1950,65 years and over,Female,Thousand,161
Population Estimates (Persons in April),1950,70 - 74 years,Both sexes,Thousand,100
Population Estimates (Persons in April),1950,70 - 74 years,Male,Thousand,50
Population Estimates (Persons in April),1950,70 - 74 years,Female,Thousand,51
Population Estimates (Persons in April),1950,75 - 79 years,Both sexes,Thousand,64
Population Estimates (Persons in April),1950,75 - 79 years,Male,Thousand,31
Population Estimates (Persons in April),1950,75 - 79 years,Female,Thousand,33
Population Estimates (Persons in April),1950,80 - 84 years,Both sexes,Thousand,30
Population Estimates (Persons in April),1950,80 - 84 years,Male,Thousand,14
Population Estimates (Persons in April),1950,80 - 84 years,Female,Thousand,16
Population Estimates (Persons in April),1950,85 years and over,Both sexes,Thousand,13
Population Estimates (Persons in April),1950,85 years and over,Male,Thousand,6
Population Estimates (Persons in April),1950,85 years and over,Female,Thousand,8
Population Estimates (Persons in April),1950,All ages,Both sexes,Thousand,2969
Population Estimates (Persons in April),1950,All ages,Male,Thousand,1510
Population Estimates (Persons in April),1950,All ages,Female,Thousand,1459
Population Estimates (Persons in April),1951,Under 1 year,Both sexes,Thousand,64
Population Estimates (Persons in April),1951,Under 1 year,Male,Thousand,33
Population Estimates (Persons in April),1951,Under 1 year,Female,Thousand,31
Population Estimates (Persons in April),1951,0 - 4 years,Both sexes,Thousand,313
Population Estimates (Persons in April),1951,0 - 4 years,Male,Thousand,160
Population Estimates (Persons in April),1951,0 - 4 years,Female,Thousand,153
Population Estimates (Persons in April),1951,0 - 14 years,Both sexes,Thousand,855
Population Estimates (Persons in April),1951,0 - 14 years,Male,Thousand,436
Population Estimates (Persons in April),1951,0 - 14 years,Female,Thousand,418
Population Estimates (Persons in April),1951,1 - 4 years,Both sexes,Thousand,249
Population Estimates (Persons in April),1951,1 - 4 years,Male,Thousand,128
Population Estimates (Persons in April),1951,1 - 4 years,Female,Thousand,122
Population Estimates (Persons in April),1951,5 - 9 years,Both sexes,Thousand,281
Population Estimates (Persons in April),1951,5 - 9 years,Male,Thousand,144
Population Estimates (Persons in April),1951,5 - 9 years,Female,Thousand,138
Population Estimates (Persons in April),1951,10 - 14 years,Both sexes,Thousand,261
Population Estimates (Persons in April),1951,10 - 14 years,Male,Thousand,133
Population Estimates (Persons in April),1951,10 - 14 years,Female,Thousand,128
Population Estimates (Persons in April),1951,15 - 19 years,Both sexes,Thousand,241
Population Estimates (Persons in April),1951,15 - 19 years,Male,Thousand,126
Population Estimates (Persons in April),1951,15 - 19 years,Female,Thousand,115
Population Estimates (Persons in April),1951,15 - 24 years,Both sexes,Thousand,443
Population Estimates (Persons in April),1951,15 - 24 years,Male,Thousand,231
Population Estimates (Persons in April),1951,15 - 24 years,Female,Thousand,212
Population Estimates (Persons in April),1951,15 years and over,Both sexes,Thousand,2106
Population Estimates (Persons in April),1951,15 years and over,Male,Thousand,1070
Population Estimates (Persons in April),1951,15 years and over,Female,Thousand,1036
Population Estimates (Persons in April),1951,20 - 24 years,Both sexes,Thousand,202
Population Estimates (Persons in April),1951,20 - 24 years,Male,Thousand,105
Population Estimates (Persons in April),1951,20 - 24 years,Female,Thousand,97
Population Estimates (Persons in April),1951,25 - 29 years,Both sexes,Thousand,198
Population Estimates (Persons in April),1951,25 - 29 years,Male,Thousand,100
Population Estimates (Persons in April),1951,25 - 29 years,Female,Thousand,99
Population Estimates (Persons in April),1951,25 - 44 years,Both sexes,Thousand,771
Population Estimates (Persons in April),1951,25 - 44 years,Male,Thousand,392
Population Estimates (Persons in April),1951,25 - 44 years,Female,Thousand,379
Population Estimates (Persons in April),1951,30 - 34 years,Both sexes,Thousand,192
Population Estimates (Persons in April),1951,30 - 34 years,Male,Thousand,96
Population Estimates (Persons in April),1951,30 - 34 years,Female,Thousand,95
Population Estimates (Persons in April),1951,35 - 39 years,Both sexes,Thousand,201
Population Estimates (Persons in April),1951,35 - 39 years,Male,Thousand,102
Population Estimates (Persons in April),1951,35 - 39 years,Female,Thousand,99
Population Estimates (Persons in April),1951,40 - 44 years,Both sexes,Thousand,180
Population Estimates (Persons in April),1951,40 - 44 years,Male,Thousand,94
Population Estimates (Persons in April),1951,40 - 44 years,Female,Thousand,86
Population Estimates (Persons in April),1951,45 - 49 years,Both sexes,Thousand,161
Population Estimates (Persons in April),1951,45 - 49 years,Male,Thousand,82
Population Estimates (Persons in April),1951,45 - 49 years,Female,Thousand,79
Population Estimates (Persons in April),1951,45 - 64 years,Both sexes,Thousand,575
Population Estimates (Persons in April),1951,45 - 64 years,Male,Thousand,292
Population Estimates (Persons in April),1951,45 - 64 years,Female,Thousand,283
Population Estimates (Persons in April),1951,50 - 54 years,Both sexes,Thousand,163
Population Estimates (Persons in April),1951,50 - 54 years,Male,Thousand,83
Population Estimates (Persons in April),1951,50 - 54 years,Female,Thousand,80
Population Estimates (Persons in April),1951,55 - 59 years,Both sexes,Thousand,129
Population Estimates (Persons in April),1951,55 - 59 years,Male,Thousand,65
Population Estimates (Persons in April),1951,55 - 59 years,Female,Thousand,64
Population Estimates (Persons in April),1951,60 - 64 years,Both sexes,Thousand,122
Population Estimates (Persons in April),1951,60 - 64 years,Male,Thousand,61
Population Estimates (Persons in April),1951,60 - 64 years,Female,Thousand,61
Population Estimates (Persons in April),1951,65 - 69 years,Both sexes,Thousand,108
Population Estimates (Persons in April),1951,65 - 69 years,Male,Thousand,54
Population Estimates (Persons in April),1951,65 - 69 years,Female,Thousand,53
Population Estimates (Persons in April),1951,65 years and over,Both sexes,Thousand,316
Population Estimates (Persons in April),1951,65 years and over,Male,Thousand,155
Population Estimates (Persons in April),1951,65 years and over,Female,Thousand,161
Population Estimates (Persons in April),1951,70 - 74 years,Both sexes,Thousand,100
Population Estimates (Persons in April),1951,70 - 74 years,Male,Thousand,49
Population Estimates (Persons in April),1951,70 - 74 years,Female,Thousand,51
Population Estimates (Persons in April),1951,75 - 79 years,Both sexes,Thousand,65
Population Estimates (Persons in April),1951,75 - 79 years,Male,Thousand,32
Population Estimates (Persons in April),1951,75 - 79 years,Female,Thousand,33
Population Estimates (Persons in April),1951,80 - 84 years,Both sexes,Thousand,31
Population Estimates (Persons in April),1951,80 - 84 years,Male,Thousand,15
Population Estimates (Persons in April),1951,80 - 84 years,Female,Thousand,16
Population Estimates (Persons in April),1951,85 years and over,Both sexes,Thousand,13
Population Estimates (Persons in April),1951,85 years and over,Male,Thousand,6
Population Estimates (Persons in April),1951,85 years and over,Female,Thousand,8
Population Estimates (Persons in April),1951,All ages,Both sexes,Thousand,2961
Population Estimates (Persons in April),1951,All ages,Male,Thousand,1507
Population Estimates (Persons in April),1951,All ages,Female,Thousand,1454
Population Estimates (Persons in April),1952,Under 1 year,Both sexes,Thousand,62
Population Estimates (Persons in April),1952,Under 1 year,Male,Thousand,32
Population Estimates (Persons in April),1952,Under 1 year,Female,Thousand,30
Population Estimates (Persons in April),1952,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1952,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1952,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1952,0 - 14 years,Both sexes,Thousand,860
Population Estimates (Persons in April),1952,0 - 14 years,Male,Thousand,439
Population Estimates (Persons in April),1952,0 - 14 years,Female,Thousand,421
Population Estimates (Persons in April),1952,1 - 4 years,Both sexes,Thousand,248
Population Estimates (Persons in April),1952,1 - 4 years,Male,Thousand,127
Population Estimates (Persons in April),1952,1 - 4 years,Female,Thousand,121
Population Estimates (Persons in April),1952,5 - 9 years,Both sexes,Thousand,285
Population Estimates (Persons in April),1952,5 - 9 years,Male,Thousand,146
Population Estimates (Persons in April),1952,5 - 9 years,Female,Thousand,139
Population Estimates (Persons in April),1952,10 - 14 years,Both sexes,Thousand,265
Population Estimates (Persons in April),1952,10 - 14 years,Male,Thousand,135
Population Estimates (Persons in April),1952,10 - 14 years,Female,Thousand,130
Population Estimates (Persons in April),1952,15 - 19 years,Both sexes,Thousand,240
Population Estimates (Persons in April),1952,15 - 19 years,Male,Thousand,125
Population Estimates (Persons in April),1952,15 - 19 years,Female,Thousand,115
Population Estimates (Persons in April),1952,15 - 24 years,Both sexes,Thousand,438
Population Estimates (Persons in April),1952,15 - 24 years,Male,Thousand,228
Population Estimates (Persons in April),1952,15 - 24 years,Female,Thousand,210
Population Estimates (Persons in April),1952,15 years and over,Both sexes,Thousand,2093
Population Estimates (Persons in April),1952,15 years and over,Male,Thousand,1062
Population Estimates (Persons in April),1952,15 years and over,Female,Thousand,1031
Population Estimates (Persons in April),1952,20 - 24 years,Both sexes,Thousand,198
Population Estimates (Persons in April),1952,20 - 24 years,Male,Thousand,103
Population Estimates (Persons in April),1952,20 - 24 years,Female,Thousand,95
Population Estimates (Persons in April),1952,25 - 29 years,Both sexes,Thousand,193
Population Estimates (Persons in April),1952,25 - 29 years,Male,Thousand,97
Population Estimates (Persons in April),1952,25 - 29 years,Female,Thousand,96
Population Estimates (Persons in April),1952,25 - 44 years,Both sexes,Thousand,760
Population Estimates (Persons in April),1952,25 - 44 years,Male,Thousand,385
Population Estimates (Persons in April),1952,25 - 44 years,Female,Thousand,375
Population Estimates (Persons in April),1952,30 - 34 years,Both sexes,Thousand,189
Population Estimates (Persons in April),1952,30 - 34 years,Male,Thousand,95
Population Estimates (Persons in April),1952,30 - 34 years,Female,Thousand,94
Population Estimates (Persons in April),1952,35 - 39 years,Both sexes,Thousand,197
Population Estimates (Persons in April),1952,35 - 39 years,Male,Thousand,100
Population Estimates (Persons in April),1952,35 - 39 years,Female,Thousand,98
Population Estimates (Persons in April),1952,40 - 44 years,Both sexes,Thousand,182
Population Estimates (Persons in April),1952,40 - 44 years,Male,Thousand,94
Population Estimates (Persons in April),1952,40 - 44 years,Female,Thousand,87
